text,label
"Maksudnya anak bangsa kita jadi TUMBAL kah min @Gerindra, jika demikian saya haramkan MBG untuk anak2 saya","negative"
"MBRJ (Makan bergizi rumah Jason) lebih oke daripada MBG","negative"
"Lanjutan MBG Keren❤️ BGN koordinasi dgn pihak sekolah utk periksa keamanan makanan MBG yg akan dimakan siswa BGN perbaiki sistem mulai dari pembelian bahan baku proses masak hingga pengiriman ke Sekolah","positive"
"Banggain MBG yang gagal, tapi lupa kalo kita butuh Sekolah Gratis, Teriak teriak Indonesia Emas, Hilirisasi, Industri 4.0, tapi bukan sektor pendidikan yang diperbaiki. Makan bangke lo gemoy & fufufafa sekeluarga","negative"
"Tujuan program MBG:✅ Mengurangi stunting (kata mereka)✅ Meningkatkan status gizi masyarakat. Indikator keberhasilan MBG:❌ Peningkatan asupan gizi ❌ Penurunan angka stunting ❌ Peningkatan kualitas SDM anak sekolah✅ Total keterlaksanaan MBG dibanding total yg keracunan 🥰","negative"
"Waktu bill gates kunjungan, mbg ditingkatkan kualitasnya. kek ada atasan dateng sengaja dibagus-bagusin. wajar dia ngomong gitu, dia mungkin gatau mbg mbg di sekolah lain banyak yang jelek dan ga merata","negative"
"Padahal kan orang yg marah tuh karena mereka gatau ini kalo dampak nya negatif minta tanggung jawab nya kemana, kasus MBG aja segitu banyak nya yg keracunan ga ada yg mundur","negative"
"Wakil Menteri Keungan Suahasil menyampaikan anggaran MBG yg awalnya Rp 71 triliun naik jadi Rp 171 triliun. makin dikritik makin tancap gas","negative"
"MBG "berhasil" itu bukannya mengentaskan gizi buruk stunting? kok "berhasil" jadi sekedar tidak keracunan?,"negative"
"Indikator keberhasilan MBG:- peningkatan food security ✖️- Penurunan stunting ✖️- Kenaikan nilai akademik ✖️- Kenaikan tingkat partisipasi murni ✖️- persentase siswa yg gak keracunan ✔️ Kalau seperti ini caranya, mending kasih box kosong aja. 100 persen gakan ada yg keracunan","negative"
"Presiden Prabowo Subianto menduga kasus keracunan makan bergizi gratis karena siswa tidak menggunakan sendok ketika menyantap kudapan yang diberikan. Selain itu, anak itu diduga belum cuci tangan dengan bersih","negative"
"Judul MBG: Makan Bergizi Gratis. Faktanya??? Makan Beracun Gratis","negative"
"Presiden Prabowo mengakui adanya kasus keracunan dalam program makan bergizi gratis (MBG). Menurutnya dari penerima MBG sebanyak 3 juta orang, korban keracunan sekitar 200 orang.","negative"
"harusnya jadi evaluasi kok bisa program makan bergizi malah jadi bumerang buat anak2 yang keracunan itu, bodoh bgt punya presiden","negative"
"Aslinya jumlah siswa yg keracunan MBG mencapai lebih dr 1000 anak","negative"
"Percayakah anda apa yg dikatakan @prabowo ? 3 juta anak sdh dpt MBG itu saja jumlahnya diragukan. Keracunan ya keracunan tdk usah mengelak adanya kesalahan,walaupun satu saja yg keracunan harus ada perbaikan  dr sistem yg ada. persen nya kecil adalah pembenaran kesalahan jika terjadi","negative"
"Program Makan Bergizi Gratis jadi solusi nyata untuk pemerataan gizi anak-anak di seluruh Indonesia, bantu wujudkan generasi sehat dan kuat #MakanBergiziGratis #DukungMBG #PemerataanGizi","positive"
"Anak-anak sehat, masa depan cerah! Program makan bergizi gratis jadi langkah penting melawan stunting.","positive"
"Jumlah Siswa di Kota Bogor, Jawa Barat, yang mengalami keracunan usai mengonsumsi makanan program Makan Bergizi Gratis (MBG) bertambah.","negative"
"Makan Bergizi Gratis sebagai Upaya Pemenuhan Gizi Anak Indonesia #MakanBergiziGratis #DukungMBG #PemerataanGizi","positive"
"Prabowo Klaim Keberhasilan Program Makan Bergizi Gratis Capai 99 Persen","positive"
"Sebanyak 24 pelajar dari TK, SD, dan SMP di Rajapolah, Tasikmalaya diduga keracunan dan dilarikan ke puskesmas, Kamis malam. Mereka mengalami diare hingga muntah-muntah usai menyantap menu makan bergizi gratis (MGB) di sekolahnya pada Rabu.","negative"
"Kebijakan MBG (Makan Beracun Gratis) untuk siswa adalah kebijakan buang duit negara. Karena anak2 sekolah di SD, SMP, SMA adalah anak2 yg mayoritas ortunya mampu siapkan makanan bergizi. Harusnya pemerintah bekerja taktis agar daya beli rakyat meningkat.","negative"
"Dukung Program Makan Bergizi Gratis","positive"
"Dalam sembilan hari terakhir di Jawa Barat, terjadi dua kasus keracunan masal di tiga sekolah yang mengikuti program Makan Bergizi Gratis. Peristiwa terkini menimpa 342 siswa SMPN 35 Bandung.","negative"
"Dapur MBG di Jayapura adalah wujud cinta dan kepedulian untuk generasi sehat Papua #MBGMajukanPapua","positive"
"Program MBG Berdampak Pada Peningkatan Ekonomi Masyarakat Papua","positive"
"Ngebayangin dapur MBG bertambah di Papua bikin optimis masa depan anak-anak di sana makin cerah","positive"
"Peluang kerja makin banyak, ekonomi juga naik, semua karena efek domino MBG","positive"
"Semua yang terlibat di MBG layak bangga, mereka bikin lingkungan sekitar makin sehat dan ekonomi bergerak","positive"
